EVENT,10,40,169.254.13.198,SEND,1448,0,10.001849
EVENT,10,41,169.254.13.198,SEND,1448,0,10.001861
EVENT,10,42,169.254.13.198,SEND,1448,0,10.001873
EVENT,4,35,169.254.13.198,SEND,1519,0,10.001610
EVENT,4,36,169.254.13.198,SEND,1354,0,10.002239
EVENT,4,37,169.254.13.198,SEND,1354,0,10.002251
EVENT,4,38,169.254.13.198,SEND,1354,0,10.002262
EVENT,4,39,169.254.13.198,SEND,1354,0,10.002273
EVENT,4,40,169.254.13.198,SEND,1354,0,10.002290
EVENT,4,41,169.254.13.198,SEND,1354,0,10.002297
EVENT,4,42,169.254.13.198,SEND,1354,0,10.002308
EVENT,4,43,169.254.13.198,SEND,1354,0,10.002319
EVENT,4,44,169.254.13.198,SEND,1354,0,10.002337
EVENT,4,45,169.254.13.198,SEND,1354,0,10.002344
EVENT,4,46,169.254.13.198,SEND,1354,0,10.002356
EVENT,4,47,169.254.13.198,SEND,1354,0,10.002367
EVENT,4,48,169.254.13.198,SEND,1354,0,10.002379
EVENT,4,49,169.254.13.198,SEND,1354,0,10.002395
EVENT,4,50,169.254.13.198,SEND,1354,0,10.002402
EVENT,12,1,172.27.242.163,SEND,1440,0,10.001167
EVENT,12,2,169.254.13.198,WAIT,4294926975,0.000000,10.002510
EVENT,10,43,169.254.13.198,SEND,1448,0,10.001887
EVENT,10,44,169.254.13.198,SEND,1448,0,10.002565
CONN,26,169.254.13.198,55289,->,172.27.242.163,443,6.002520
EVENT,26,0,169.254.13.198,SEND,181,0,10.002520
EVENT,4,51,169.254.13.198,SEND,1354,0,10.002416
EVENT,4,52,169.254.13.198,SEND,1354,0,10.003269
EVENT,4,53,169.254.13.198,SEND,1354,0,10.003280
EVENT,4,54,169.254.13.198,SEND,1354,0,10.003292
EVENT,4,55,169.254.13.198,SEND,1354,0,10.003304
EVENT,4,56,169.254.13.198,SEND,1354,0,10.003314
EVENT,4,57,169.254.13.198,SEND,1354,0,10.003327
EVENT,4,58,169.254.13.198,SEND,1354,0,10.003346
EVENT,4,59,169.254.13.198,SEND,1354,0,10.003353
EVENT,4,60,169.254.13.198,SEND,1354,0,10.003369
EVENT,4,61,169.254.13.198,SEND,1354,0,10.003376
EVENT,4,62,169.254.13.198,SEND,1354,0,10.003388
EVENT,4,63,169.254.13.198,SEND,1354,0,10.003404
EVENT,4,64,169.254.13.198,SEND,1354,0,10.003410
EVENT,4,65,169.254.13.198,SEND,1354,0,10.003427
EVENT,4,66,169.254.13.198,SEND,1354,0,10.003433
CONN,34,172.27.242.163,2608,->,169.254.13.198,80,6.003657
EVENT,34,0,169.254.13.198,SEND,1460,0,10.003657
EVENT,34,1,169.254.13.198,SEND,1460,0,10.003661
CONN,28,172.27.242.163,49528,->,169.254.13.198,443,6.002932
EVENT,28,0,172.27.242.163,SEND,175,0,10.002932
EVENT,28,1,169.254.13.198,WAIT,174,0.000000,10.004081
EVENT,4,67,169.254.13.198,SEND,1354,0,10.003449
EVENT,4,68,169.254.13.198,SEND,1354,0,10.004243
CONN,40,169.254.13.198,50276,->,172.27.242.163,443,6.004676
EVENT,40,0,172.27.242.163,SEND,303,0,10.004676
EVENT,12,3,172.27.242.163,SEND,1440,0,10.004923
CONN,44,172.27.242.163,34520,->,169.254.13.198,80,6.004955
EVENT,44,0,169.254.13.198,SEND,1460,0,10.004955
CONN,48,172.27.242.163,35382,->,169.254.13.198,80,6.005388
EVENT,48,0,169.254.13.198,SEND,1460,0,10.005388
EVENT,44,1,169.254.13.198,SEND,1460,0,10.004966
EVENT,44,2,169.254.13.198,SEND,1460,0,10.005412
EVENT,48,1,169.254.13.198,SEND,1460,0,10.005392
EVENT,48,2,169.254.13.198,SEND,2920,0,10.005485
CONN,50,172.27.242.163,56348,->,169.254.13.198,80,6.005525
EVENT,50,0,169.254.13.198,SEND,1460,0,10.005525
EVENT,48,3,169.254.13.198,SEND,1460,0,10.005526
EVENT,50,1,169.254.13.198,SEND,1460,0,10.005635
EVENT,50,2,169.254.13.198,SEND,1460,0,10.005692
EVENT,50,3,169.254.13.198,SEND,1460,0,10.005742
EVENT,12,4,172.27.242.163,SEND,1440,0,10.004961
EVENT,12,5,169.254.13.198,WAIT,2880,0.003603,10.006113
CONN,54,172.27.242.163,23392,->,169.254.13.198,80,6.005928
EVENT,54,0,169.254.13.198,SEND,2920,0,10.005928
EVENT,40,1,172.27.242.163,SEND,303,0,10.004827
EVENT,40,2,172.27.242.163,WAIT,601,0.000000,10.006216
EVENT,40,3,172.27.242.163,SEND,1354,0,10.006921
CONN,60,169.254.13.198,56550,->,172.27.242.163,443,6.007728
EVENT,60,0,172.27.242.163,SEND,1366,0,10.007728
EVENT,60,1,172.27.242.163,SEND,1366,0,10.007738
EVENT,60,2,172.27.242.163,SEND,1366,0,10.007749
CONN,64,172.27.242.163,56239,->,169.254.13.198,443,6.007909
EVENT,64,0,172.27.242.163,SEND,1440,0,10.007909
CONN,56,169.254.13.198,57180,->,172.27.242.163,23,6.007459
EVENT,56,0,172.27.242.163,SEND,2,0,10.007459
CONN,52,169.254.13.198,36390,->,172.27.242.163,23,6.005782
EVENT,52,0,172.27.242.163,SEND,91,0,10.005782
CONN,68,172.27.242.163,52824,->,169.254.13.198,80,6.008605
EVENT,68,0,169.254.13.198,SEND,2920,0,10.008605
EVENT,68,1,169.254.13.198,SEND,2920,0,10.008612
CONN,72,172.27.242.163,44602,->,169.254.13.198,80,6.008897
EVENT,72,0,169.254.13.198,SEND,1460,0,10.008897
EVENT,72,1,169.254.13.198,SEND,1460,0,10.008924
EVENT,52,1,172.27.242.163,SEND,2,0,10.008384
EVENT,56,1,172.27.242.163,SEND,19,0,10.008023
EVENT,52,2,172.27.242.163,SEND,19,0,10.008997
CONN,74,169.254.13.198,40317,->,172.27.242.163,3233,6.009008
EVENT,74,0,169.254.13.198,SEND,45,0,10.009008
EVENT,74,1,172.27.242.163,WAIT,44,0.000000,10.009919
CONN,82,169.254.13.198,51661,->,172.27.242.163,443,6.010105
EVENT,82,0,172.27.242.163,SEND,688,0,10.010105
EVENT,74,2,172.27.242.163,SEND,7,0,10.009993
EVENT,74,3,169.254.13.198,WAIT,7,0,10.009993
EVENT,74,4,169.254.13.198,CLOSE,0,0.0,10.010003
EVENT,74,5,172.27.242.163,WAIT,1,0.0,10.009993
EVENT,74,6,172.27.242.163,CLOSE,0,0.0,10.010003
EVENT,12,6,172.27.242.163,SEND,1440,0,10.010115
CONN,84,172.27.242.163,26140,->,169.254.13.198,80,6.010260
EVENT,84,0,169.254.13.198,SEND,2920,0,10.010260
EVENT,84,1,169.254.13.198,SEND,1460,0,10.010275
EVENT,56,2,172.27.242.163,SEND,1,0,10.009384
EVENT,84,2,169.254.13.198,SEND,1460,0,10.010298
EVENT,84,3,169.254.13.198,SEND,1460,0,10.010310
CONN,78,172.27.242.163,54506,->,169.254.13.198,443,6.009257
EVENT,78,0,172.27.242.163,SEND,310,0,10.009257
EVENT,78,1,169.254.13.198,WAIT,309,0.000000,10.010490
EVENT,52,3,172.27.242.163,SEND,1,0,10.009918
CONN,66,172.27.242.163,15302,->,169.254.13.198,80,6.008602
EVENT,66,0,169.254.13.198,SEND,1460,0,10.008602
EVENT,66,1,172.27.242.163,WAIT,4294959995,0.000000,10.010818
EVENT,52,4,172.27.242.163,SEND,1,0,10.010749
EVENT,52,5,169.254.13.198,WAIT,4294967291,0.000000,10.010857
EVENT,56,3,172.27.242.163,SEND,1,0,10.010302
EVENT,12,7,172.27.242.163,SEND,1440,0,10.010118
EVENT,12,8,169.254.13.198,WAIT,2880,0.005315,10.011428
CONN,88,172.27.242.163,1572,->,169.254.13.198,80,6.011462
EVENT,88,0,169.254.13.198,SEND,2920,0,10.011462
EVENT,88,1,169.254.13.198,SEND,1460,0,10.011469
EVENT,10,45,169.254.13.198,SEND,1448,0,10.002586
EVENT,10,46,169.254.13.198,SEND,1448,0,10.011742
EVENT,10,47,169.254.13.198,SEND,1448,0,10.011756
EVENT,10,48,169.254.13.198,SEND,1448,0,10.011769
EVENT,10,49,169.254.13.198,SEND,1448,0,10.011786
EVENT,10,50,169.254.13.198,SEND,1448,0,10.011794
EVENT,10,51,169.254.13.198,SEND,1448,0,10.011806
EVENT,10,52,169.254.13.198,SEND,1448,0,10.011817
EVENT,10,53,169.254.13.198,SEND,1448,0,10.011835
EVENT,88,2,169.254.13.198,SEND,1460,0,10.011475
EVENT,88,3,169.254.13.198,SEND,1460,0,10.011862
EVENT,10,54,169.254.13.198,SEND,1448,0,10.011845
